Model,Accuracy,Precision,Recall,F1,ROC-AUC,Training Time (s),Confusion Matrix
Logistic Regression,0.8232323232323232,0.9194630872483222,0.45666666666666667,0.6102449888641426,0.7442572463768116,0.044240713119506836,"[[1356, 24], [326, 274]]"
Decision Tree,0.8661616161616161,0.8713968957871396,0.655,0.7478591817316841,0.8766358695652176,0.06928038597106934,"[[1322, 58], [207, 393]]"
Random Forest,0.8797979797979798,0.994535519125683,0.6066666666666667,0.7536231884057971,0.9406002415458937,0.7123663425445557,"[[1378, 2], [236, 364]]"
Gradient Boosting,0.9373737373737374,0.9857142857142858,0.805,0.8862385321100917,0.963050724637681,3.2140491008758545,"[[1373, 7], [117, 483]]"
