Model,Accuracy,Precision,Recall,F1,ROC-AUC,Training Time (s),Confusion Matrix
Logistic Regression,0.775,0.6842105263157895,0.4406779661016949,0.5360824742268041,0.766558480586609,0.0231931209564209,"[[129, 12], [33, 26]]"
Decision Tree,0.755,0.6136363636363636,0.4576271186440678,0.5242718446601942,0.6940738069479505,0.0202791690826416,"[[124, 17], [32, 27]]"
Random Forest,0.755,0.7272727272727273,0.2711864406779661,0.3950617283950617,0.7492487077773771,0.24132823944091797,"[[135, 6], [43, 16]]"
Gradient Boosting,0.735,0.59375,0.3220338983050847,0.4175824175824176,0.7329005890131025,0.9255421161651611,"[[128, 13], [40, 19]]"
